English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,degree_score,betweenness_score,faction_id,Cross_Index,Image_URL,Loyalty_Score
IRON MAN IV/JAMES R.,钢铁侠四代/詹姆斯·R·罗兹,男,正派,科技,穿着高科技装甲，具备飞行、能量炮、超强防御和战术分析能力，装甲由斯塔克工业技术升级。,否,0,复仇者联盟,托尼·斯塔克,3,团队核心,0.0724863600935308,0.0075988667967337,0,0.8467,pic\pic/shield_logo.webp,0.243
CAPTAIN BRITAIN/BRIA,英国队长/布里亚,女,正派,魔法/神力,通过魔法护身符获得超人类力量、耐力、飞行能力，并能操控能量进行攻击和防御。,否,0,英国队长军团/复仇者联盟,梅林,4,团队核心/坚韧果敢,0.0717069368667186,0.0046438228129409,5,0.7721,pic\pic/shield_logo.webp,0.3783
STARFOX/EROS,星狐/厄洛斯,男,正派,神力,永恒族成员，拥有飞行、超强力量、耐力，并能通过接触激发他人愉悦感，影响情绪。,是,1,永恒族,阿贾克,3,魅力型/享乐主义,0.0712392829306313,0.0018061812505286,2,0.7729,pic\pic/shield_logo.webp,0.3348
SASQUATCH/WALTER LAN,大脚怪/沃尔特·兰,男,正派,变异,可变为巨大、毛茸茸的类人生物，拥有超强力量、耐力和再生能力，能抵御极端环境。,否,0,阿尔法战队,詹姆斯·麦克唐纳·哈德森（守护者）,4,团队核心,0.0709275136399064,0.0029394165145397,5,0.7457,pic\pic/shield_logo.webp,0.3451
"MACTAGGERT, MOIRA KI",莫伊拉·金·麦克塔格特,女,正派,变异,拥有十次生命轮回的能力，每次死亡后会在出生时重生并保留所有记忆，可改变历史走向。,否,0,X战警,查尔斯·泽维尔,7,双重间谍,0.0704598597038191,0.0031701121034055,5,0.8163,pic\pic/shield_logo.webp,0.2522
THUNDERBIRD II/JAMES,雷霆鸟二世/詹姆斯·普罗迪,男,正派,变异,拥有超人的力量、速度、耐力、感官和飞行能力，以及强大的能量吸收和释放能力。,否,0,X战警,X教授,4,团队核心,0.0703039750584567,0.0048008041861867,5,0.8395,pic\pic/shield_logo.webp,0.2461
MEDUSA/MEDUSALITH AM,美杜莎/美杜莎莉丝·阿姆,女,正派,变异,拥有超强力量、速度、耐力，并能通过意念控制头发，使其成为可自由伸缩、强度极高的武器。,否,0,异人族,黑蝠王,4,团队核心,0.0699922057677318,0.0024985787150915,2,0.7755,pic\heroes\MEDUSA.jpg,0.3163
JUBILEE/JUBILATION L,欢欢/朱比莉,女,正派,变异,能够从双手发射出炫目的等离子能量球，产生爆炸和强光，并可通过情绪控制其强度。,否,0,X战警,金刚狼,3,活泼叛逆,0.0698363211223694,0.0062647870621174,5,0.8366,pic\heroes\JUBILEE.jpg,0.2455
BEETLE/ABNER RONALD,甲虫/阿布纳·罗纳德,男,反派,科技,身穿高科技装甲，具备飞行、能量武器、增强力量与防御能力，装甲可变形适应不同战斗环境。,否,0,邪恶大师,无,5,雇佣兵/机会主义者,0.0695245518316445,0.0019481979695609,12,0.8123,pic\pic/shield_logo.webp,0.1794
KARNAK [INHUMAN],卡尔纳克,男,正派,变异,异人族，拥有超凡的洞察力，能发现任何物体或系统的弱点，并精准攻击使其失效。,是,1,异人族,黑蝠王,3,冷静理性,0.0693686671862821,0.0029675281295548,2,0.7783,pic\pic/shield_logo.webp,0.3191
WONG,王,男,正派,魔法,精通秘术魔法，能开启传送门、制造能量武器、操控元素，是卡玛泰姬的资深法师和图书管理员。,是,约5部,至尊法师/卡玛泰姬,古一,3,沉稳可靠,0.0692127825409197,0.004293330942221,9,0.8445,pic\pic/shield_logo.webp,0.268
BLACK BOLT/BLACKANTO,黑蝠王/布莱克·博尔特,男,正派,变异,拥有通过声带释放毁灭性能量的能力，即使轻声细语也能造成巨大破坏，需长期保持沉默。,是,1,异人族皇室,阿贡,8,孤傲,0.0692127825409197,0.0031374360640143,2,0.7752,pic\heroes\BLACK MANTA.jpg,0.3176
KINGPIN/WILSON FISK,金并/威尔逊·菲斯克,男,反派,格斗,无超能力，但拥有远超常人的体格、力量、格斗技巧和极高的智力，是纽约地下犯罪帝国的首领。,是,0,无固定阵营，常作为蜘蛛侠、夜魔侠等街头英雄的主要对手。,无,9,控制欲强/幕后操纵者/双重身份,0.0689010132501948,0.009447292627339,1,0.8666,pic\heroes\KINGPIN (WILSON FISK).jpg,0.1538
GORGON [INHUMAN],戈耳工,男,正派,变异,拥有超强力量和耐力，双脚能引发地震波，是异人族皇室护卫队成员。,否,0,异人族皇室护卫队,黑蝠王,5,忠诚护卫,0.0684333593141075,0.0028944529435746,2,0.7693,pic\pic/shield_logo.webp,0.3235
"MASTERS, ALICIA REIS",艾丽西亚·雷斯·马斯特斯,女,反派,科技,通过高科技装备增强体能和战斗技巧，擅长使用先进武器和战术分析，无超自然能力。,否,0,无固定核心阵营,无,3,孤傲,0.0681215900233827,0.0023851697380378,2,0.7772,pic\pic/shield_logo.webp,0.1716
BOOMER/TABITHA SMITH,布姆/塔比莎·史密斯,女,反派,变异,能够从身体释放能量爆炸，通常表现为投掷能量球或制造冲击波，威力可调节。,否,0,地狱火俱乐部,塞巴斯蒂安·肖,4,叛逆,0.0678098207326578,0.0048418646057554,5,0.8397,pic\pic/shield_logo.webp,0.0897
SCREAMING MIMI/MELIS,尖叫女妖/梅莉斯,女,反派,变异,拥有超强声波攻击能力，可发出破坏性音波，并具备一定格斗技巧和敏捷性。,否,0,邪恶大师,泽莫男爵,5,孤傲,0.0673421667965705,0.0023836948187311,12,0.8131,pic\pic/shield_logo.webp,0.1898
MOONSTONE II/KARLA S,月光石二代/卡拉·索芬,女,反派,宇宙能量,通过月光石获得飞行、能量投射、密度操控、隐形和超强力量，能吸收并释放能量。,否,0,雷霆特工队,诺曼·奥斯本,7,野心勃勃/双重间谍,0.0668745128604832,0.0021479928407182,12,0.8212,pic\heroes\MOONSTONE (KARLA SOFEN).jpg,0.1748
SHAMAN/MICHAEL TWOYO,萨满/迈克尔·图约,男,正派,魔法,能够操控自然元素、进行灵魂旅行、施展治疗法术，并拥有强大的精神感知能力。,否,0,阿尔法飞行队,无明确核心导师,4,沉稳内敛,0.0662509742790335,0.0022241056272546,5,0.7297,pic\pic/shield_logo.webp,0.3718
LOKI [ASGARDIAN],洛基,男,反派,魔法/神力,精通阿斯加德魔法，擅长幻术、变形、心灵控制，拥有超强体能和寿命，能使用宇宙魔方等神器。,是,6,无固定阵营（曾短暂领导齐塔瑞军队）,奥丁,9,诡计多端/双重间谍,0.0662509742790335,0.0022435228582765,6,0.7837,pic\heroes\LOKI__ASGARDIAN_.jpg,0.1788
BLOB/FRED J. DUKES,肉球/弗雷德·J·杜克斯,男,反派,变异,拥有超强密度和重量，身体几乎无法移动，能吸收冲击并反弹攻击，皮肤极其坚韧。,否,0,变种人兄弟会,万磁王,4,孤傲,0.0659392049883086,0.003471155565167,5,0.7949,pic\heroes\BLOB.jpg,0.156
ODIN [ASGARDIAN],奥丁,男,正派,神力,拥有奥丁之力，可操控宇宙能量、施展强大魔法、预知未来，是阿斯加德的神王。,是,3,阿斯加德,无,8,威严领袖,0.0659392049883086,0.0030836478794759,6,0.7995,pic\heroes\ODIN.jpg,0.2624
POWER MAN/ERIK JOSTE,神力侠/埃里克·乔斯特,男,反派,变异,拥有超人的力量、耐力和抗击打能力，能举起重物并承受强大冲击。,否,0,无固定核心阵营,无,4,孤傲,0.0656274356975838,0.0028769824073891,12,0.8221,pic\pic/shield_logo.webp,0.1971
TRITON,特里同,非人类,正派,变异,亚特兰蒂斯人，拥有水下呼吸、超强力量、速度、耐力，以及水下高速移动能力。,否,0,异人族,黑蝠王,3,忠诚护卫,0.0654715510522213,0.0023518595333581,2,0.7599,pic\pic/shield_logo.webp,0.3214
NORTHSTAR/JEAN-PAUL,北极星/让-保罗·博利尔,男,正派,变异,变种人，能超音速飞行，发射强光，拥有超人类体能和反应速度。,否,0,X战警,X教授,3,孤傲,0.0653156664068589,0.0034756200823145,5,0.7222,pic\pic/shield_logo.webp,0.358
"LEEDS, BETTY BRANT",贝蒂·布兰特·利兹,女,正派,格斗,无超能力，作为记者和蜘蛛侠的盟友，具备调查能力和基础格斗技巧。,否,0,无固定核心阵营,无,1,调查型盟友,0.0645362431800467,0.0018627298926919,1,0.861,pic\pic/shield_logo.webp,0.1691
SPIDER-WOMAN II/JULI,蜘蛛女侠II/朱莉,女,正派,变异,拥有蜘蛛感应、超强力量与敏捷、手腕发射生物电蛛丝、爬墙能力，并具备飞行能力。,否,0,复仇者联盟,杰西卡·德鲁,4,团队核心,0.063912704598597,0.0021998933734798,0,0.7825,pic\heroes\SPIDER-WOMAN.jpg,0.261
ANT-MAN II/SCOTT HAR,蚁人II/斯科特·朗,男,正派,科技,通过皮姆粒子战衣缩小或放大身体，控制蚂蚁，在亚原子尺度穿梭，拥有超强力量和敏捷性。,是,5,复仇者联盟,汉克·皮姆,3,团队核心,0.063912704598597,0.0017851021577134,2,0.7517,pic\pic/shield_logo.webp,0.322
"URICH, BEN",本·尤里克,男,正派,格斗,无超能力，是经验丰富的调查记者，擅长挖掘真相和揭露腐败，具备出色的调查技巧和坚韧的品格。,否,0,无,无,1,正直坚韧,0.0634450506625097,0.0046912496315096,1,0.8664,pic\pic/shield_logo.webp,0.1622
AURORA/JEANNE-MARIE,极光/珍妮-玛丽,女,正派,变异,拥有光速飞行、发射强光、制造光能爆炸和光能护盾的能力，并能通过光能影响他人情绪。,否,0,阿尔法战队,詹姆斯·麦克唐纳·赫德森,4,双重人格,0.0631332813717848,0.0031620635528199,5,0.7083,pic\pic/shield_logo.webp,0.3753
"GYRICH, HENRY PETER",亨利·彼得·吉里奇,男,反派,科技,使用先进科技武器和装备，包括能量武器、飞行装置和防护服，无超能力但技术高超。,否,0,九头蛇,红骷髅,6,忠诚执行者,0.0625097427903351,0.0021548394631232,12,0.7895,pic\pic/shield_logo.webp,0.1721
MIRAGE II/DANIELLE M,幻影二代/丹妮尔·M,女,正派,变异,能够投射逼真的三维全息影像，用于迷惑敌人、制造幻象和战术欺骗，影像具有触感和声音。,否,0,新变种人,幻影（米拉吉·圣约翰）,3,团队合作者,0.0620420888542478,0.0044627727899393,5,0.8011,pic\pic/shield_logo.webp,0.2814
PHOENIX III/RACHEL S,凤凰三/瑞秋·萨默斯,女,正派,宇宙能量,拥有凤凰之力碎片，可操控宇宙能量、心灵感应、预知未来、能量投射及飞行。,否,0,X战警,琴·葛蕾,8,孤傲,0.0618862042088854,0.0019808956161703,5,0.7936,pic\heroes\DARK PHOENIX (JEAN GREY).jpg,0.2695
GALACTUS/GALAN,行星吞噬者/加兰,非人类,中立,宇宙能量,拥有宇宙级力量，能吞噬行星能量维持生命，操控物质与能量，创造生命与宇宙实体。,否,0,无固定阵营,无,10,孤傲,0.0617303195635229,0.0012697879122517,6,0.7316,pic\heroes\GALACTUS.jpg,0.0455
MEPHISTO,墨菲斯托,非人类,反派,魔法,地狱维度领主，拥有强大的魔法、变形、操控灵魂、现实扭曲等能力，几乎不朽。,否,0,地狱领主,无,9,狡诈操纵者,0.0615744349181605,0.003364277371921,6,0.7845,pic\heroes\MEPHISTO.jpg,0.1316
MYSTIQUE/RAVEN DARKH,魔形女/瑞雯·达克霍姆,女,反派,变异,拥有变形能力，可以完美模仿任何人的外貌、声音和体型，具备超强自愈能力和格斗技巧。,否,约10部,X战警/变种人兄弟会,万磁王,7,双重间谍/孤傲,0.0615744349181605,0.0027164403378227,5,0.7963,pic\pic/shield_logo.webp,0.1114
LOCKJAW [INHUMAN],锁齿狗,非人类,正派,变异,拥有心灵传送能力，能传送自身及他人，体型巨大但性格温顺，是异人族皇室宠物。,是,1,异人族皇室,黑蝠王,2,忠诚伙伴,0.0615744349181605,0.0023818608391147,2,0.7528,pic\pic/shield_logo.webp,0.3418
FANDRAL [ASGARDIAN],范达尔（阿斯加德人）,男,正派,神力,作为阿斯加德人，拥有超人的力量、速度、耐力和寿命，精通剑术和格斗技巧。,是,2,仙宫三勇士,奥丁,3,风流倜傥,0.0612626656274357,0.0023687970462359,6,0.787,pic\pic/shield_logo.webp,0.2824
HOGUN [ASGARDIAN],霍根（仙宫战士）,男,正派,神力,拥有阿斯加德人的超人体质，包括超强力量、耐力、寿命和战斗技巧，精通多种武器，尤其是战锤。,是,3,仙宫三勇士,奥丁,4,忠诚战士,0.0612626656274357,0.0023653877258267,6,0.787,pic\pic/shield_logo.webp,0.2824
WHITE QUEEN/EMMA FRO,白皇后/艾玛·弗罗斯特,女,正派/反派,变异,拥有强大的心灵感应能力，能读取思想、控制他人心智、制造心灵幻象，并能将身体转化为钻石形态，增强防御力。,否,0,X战警,查尔斯·泽维尔,7,孤傲/双重间谍,0.0612626656274357,0.0037408224362354,5,0.8172,pic\heroes\BERUETTE WHITE.jpg,0.0
"HUDSON, HEATHER",希瑟·哈德森,女,正派,科技,作为神盾局特工，拥有高级格斗技能、武器使用和战术分析能力，无超自然力量。,否,0,神盾局,尼克·弗瑞,3,忠诚可靠,0.0612626656274357,0.0047838141583945,5,0.7712,pic\pic/shield_logo.webp,0.257
"NORRISS, SISTER BARB",芭芭修女,女,正派,魔法,作为魔法师，她掌握多种魔法，包括能量投射、传送和防御法术，是魔法领域的专家。,否,0,魔法师团体,古一,3,团队核心,0.0606391270459859,0.0013831926040255,2,0.7294,pic\pic/shield_logo.webp,0.3573
NIGHT THRASHER/DUANE,夜行侠/杜安,男,正派,格斗,无超能力，依靠高科技装备（如动力装甲、滑板）和精湛的武术进行战斗。,否,0,新勇士,无明确核心导师,4,团队核心,0.0598597038191738,0.0022188062168243,4,0.8195,pic\heroes\NIGHTMARE.jpg,0.2526
SIF,希芙,女,正派,神力,拥有阿斯加德神族的超强力量、耐力、战斗技巧和长寿，是阿斯加德最杰出的女战士之一。,是,2,阿斯加德,奥丁,3,忠诚战士,0.059236165237724,0.0023548142486817,6,0.7814,pic\heroes\LADY SIF.jpg,0.2632
SUNFIRE/SHIRO YOSHID,太阳火/志志雄真实,男,正派,变异,能产生并操控等离子体火焰，飞行，吸收太阳能增强能力，免疫高温。,否,0,X战警,X教授,6,孤傲,0.0590802805923616,0.0059936848477906,5,0.7283,pic\pic/shield_logo.webp,0.3879
SANDMAN/WILLIAM BAKE,沙人/威廉·贝克,男,反派,变异,身体可转化为沙状物质，随意变形、重组、硬化，控制沙子攻击或防御。,否,0,邪恶六人组,无,7,孤傲,0.0587685113016367,0.0012780861905721,1,0.7824,pic\heroes\SANDMAN_WILLIAM_BAKE.jpg,0.1459
DAZZLER II/ALLISON B,炫光女侠II/艾莉森·B,女,正派,变异,能将声波转化为强光、激光等光能形式，用于攻击、防御、照明或制造幻象。,否,0,X战警,X教授,3,团队核心,0.0586126266562743,0.0015114902657802,5,0.721,pic\heroes\DAZZLER.jpg,0.3644
THANOS,灭霸,非人类,反派,神力/宇宙能量,拥有宇宙级力量、耐力、再生能力，能操控宇宙立方、无限宝石等神器，精通战略与科技。,是,5,黑暗教团,死亡女神,10,孤傲/独裁者,0.0576773187840997,0.0032097523828804,5,0.7206,pic\heroes\THANOS.jpg,0.1
PHARAOH RAMA-TUT,法老拉玛图特,男,反派,科技,来自31世纪的征服者康的变体，利用未来科技统治古埃及，拥有先进武器和时间旅行能力。,否,0,无固定阵营,无,8,孤傲,0.0575214341387373,0.0012674116373354,2,0.7211,pic\pic/shield_logo.webp,0.1816
PUCK/EUGENE MILTON J,帕克/尤金·米尔顿·J,男,正派,变异,因实验获得超强耐力、敏捷和力量，体型矮小但格斗技巧高超，能承受巨大冲击。,否,0,阿尔法战队,无明确核心导师,3,团队合作者,0.0575214341387373,0.0043863347808795,5,0.7525,pic\pic/shield_logo.webp,0.29
SIRYN/THERESA ROURKE,女妖/特蕾莎·鲁尔克,女,正派,变异,拥有强大的声波操控能力，能发出超声波攻击、制造声波护盾、进行声波飞行和催眠等。,否,0,X战警,X教授,4,团队核心,0.05705378020265,0.0032228104523148,5,0.8223,pic\pic/shield_logo.webp,0.235
HELLCAT/PATSY WALKER,地狱猫/帕齐·沃克,女,正派,魔法,通过魔法获得超人类力量、速度、敏捷度、感知力和心灵感应能力，能进行灵魂出窍和附身。,否,0,捍卫者联盟,女巫阿加莎·哈克尼斯,3,双重身份,0.0568978955572876,0.0040684626723489,2,0.6992,pic\heroes\HELLCAT_PATSY_WALKER.jpg,0.3534
BISHOP /,毕肖普 / 卢卡斯·毕肖普,男,正派,变异,能够吸收并重新定向各种形式的能量，包括动能、热能、电能等，将其转化为自身力量或释放攻击。,否,0,X战警,X教授,5,团队核心,0.055962587685113,0.0062887219437489,5,0.7821,pic\heroes\BISHOP.jpg,0.2981
SPIDER-MAN CLONE/BEN,蜘蛛侠克隆体/本·莱利,男,正派,变异,拥有与蜘蛛侠彼得·帕克相似的超能力，包括蜘蛛感应、超强力量与敏捷、爬墙能力，并能发射有机蛛丝。,否,0,新勇士,彼得·帕克,3,双重身份,0.0553390491036632,0.0074817673223778,1,0.8623,pic\pic/shield_logo.webp,0.1831
"HARKNESS, AGATHA",阿加莎·哈克尼斯,女,反派,魔法,精通混沌魔法和古老巫术，能操控能量、变形、精神控制及吸收他人魔法力量。,是,1,无固定阵营,无明确导师,8,伪装欺骗,0.0553390491036632,0.0017291217760448,2,0.7135,pic\pic/shield_logo.webp,0.1296
BALDER [ASGARDIAN],巴尔德尔,男,正派,神力,拥有超凡的阿斯加德神族力量、耐力、速度与再生能力，是光明与纯净之神，对多数攻击免疫。,否,0,阿斯加德,奥丁,2,光明磊落,0.054871395167576,0.0019555196202304,6,0.7633,pic\pic/shield_logo.webp,0.2841
DARKHAWK/CHRIS POWEL,暗鹰/克里斯·鲍威尔,男,正派,科技,通过暗鹰护甲获得飞行、超级力量、能量冲击、隐形和快速自愈能力，并能切换至能量形态。,否,0,新勇士,无明确核心导师,4,孤傲,0.0547155105222135,0.0023434271457674,4,0.7414,pic\pic/shield_logo.webp,0.3162
VOLSTAGG,沃斯塔格,男,正派,神力,作为阿斯加德人，拥有远超常人的力量、耐力、寿命和战斗技巧，是仙宫三勇士之一。,是,3,仙宫三勇士/阿斯加德,奥丁,3,忠诚伙伴,0.0545596258768511,0.0019327680615223,6,0.8028,pic\pic/shield_logo.webp,0.2371
LIVING LIGHTNING/MIG,活体闪电/米格尔·桑托斯,男,正派,变异,能够将身体转化为电流形态，进行高速移动、飞行、释放电击，并免疫物理攻击。,否,0,复仇者联盟,托尼·斯塔克（钢铁侠）,3,团队核心,0.0544037412314887,0.0009630526912962,5,0.7191,pic\heroes\LIVING TRIBUNAL.jpg,0.2865
"THOMPSON, EUGENE FLA",尤金·“闪电”·汤普森,男,正派,变异,被共生体附身后获得超强力量、速度、敏捷性及自愈能力，并可生成共生体武器。,是,2,复仇者联盟,彼得·帕克（蜘蛛侠）,4,团队核心,0.0544037412314887,0.0015634540483141,1,0.838,pic\pic/shield_logo.webp,0.1605
"BANNER, BETTY ROSS T",贝蒂·罗斯·塔尔博特,女,正派,科技,作为科学家，她本身没有超能力，但曾短暂通过伽马辐射实验获得类似女浩克的变身能力。,是,2,美国军方/神盾局相关,布鲁斯·班纳,3,理性支持者,0.0536243180046765,0.0021567265576144,2,0.7742,pic\pic/shield_logo.webp,0.314
HUMAN TORCH ANDROID/,霹雳火机器人,非人类,反派,科技,拥有与霹雳火相似的火焰能力，包括飞行、火焰投射和高温免疫，但由人工智能控制，缺乏自主意识。,否,0,无固定阵营,无,4,无社交,0.0534684333593141,0.0012076515663766,2,0.7901,pic\heroes\HUMAN TORCH.jpg,0.1399
CITIZEN V II/HELMUT,公民V二世/赫尔穆特,男,反派,科技,使用高科技武器和装甲，包括能量武器、飞行能力和增强体能，无超能力。,否,0,雷霆特工队,泽莫男爵,6,双重间谍,0.0525331254871395,0.0013566227415646,12,0.793,pic\pic/shield_logo.webp,0.184
LILANDRA NERAMANI [S,莉兰德拉·尼拉玛尼,女,正派,宇宙能量,拥有强大的心灵感应和预知能力，能操控精神能量，作为希阿帝国女皇具备星际领导力。,否,0,X战警/希阿帝国,X教授,7,星际领袖/外交家,0.0522213561964146,0.0008990743826832,5,0.7152,pic\heroes\LILANDRA NERAMANI.jpg,0.3522
HIGH EVOLUTIONARY/HE,至高进化/赫伯特·温德姆,男,反派,科技,通过基因工程改造自身和生物，拥有超级智力、再生能力和能量投射能力。,是,1,独立/自创阵营,无明确核心导师,9,孤傲/控制狂,0.0520654715510522,0.0013260953405231,6,0.7565,pic\pic/shield_logo.webp,0.1257
"KNIGHT, MISTY",米斯蒂·奈特,女,正派,格斗,前纽约警察局警官，无超能力，但精通格斗技巧、枪械使用和侦探技能，拥有机械仿生手臂增强力量。,否,0,捍卫者联盟/夜魔侠盟友,无特定核心导师,3,坚韧独立,0.0519095869056897,0.0018588103652576,3,0.818,pic\pic/shield_logo.webp,0.2673
DOMINO III/BEATRICE/,多米诺三世/碧翠丝,女,正派,变异,拥有概率操控能力，能下意识地影响事件发生的概率，使幸运偏向自己或队友，同时具备出色的战斗技巧。,否,0,X特攻队,死侍,4,冷静务实,0.0519095869056897,0.0023938511949371,5,0.8371,pic\heroes\DOMINO.jpg,0.1982
JACK OF HEARTS/JACK,红心杰克,男,正派,宇宙能量,能够吸收并释放宇宙能量，飞行，能量爆炸，增强力量，但能量过载时可能失控。,否,0,复仇者联盟,钢铁侠,6,孤傲,0.0517537022603273,0.0011888864358332,2,0.6654,pic\heroes\YELLOWJACKET.jpg,0.4337
"CARTER, PEGGY",佩吉·卡特,女,正派,格斗,无超能力，但拥有卓越的格斗技巧、战略头脑和领导能力，是神盾局创始人之一。,是,4,神盾局,无,2,团队核心,0.0515978176149649,0.0011466474976727,12,0.7805,pic\pic/shield_logo.webp,0.2689
KA-ZAR/KEVIN PLUNDER,凯-扎尔/凯文·普兰德,男,正派,格斗,无超能力，但拥有卓越的生存技能、丛林战斗技巧和与野兽沟通的能力，常与剑齿虎扎布为伴。,否,0,野蛮之地守护者,无明确导师,3,孤傲,0.0514419329696025,0.0020879564812962,2,0.7051,pic\pic/shield_logo.webp,0.4061
"ROSS, GEN. THADDEUS",撒迪厄斯·“雷霆”·罗斯将军,男,中立/反派,科技/变异,通过科技手段（如反浩克装甲）或血清变异（如红巨人）获得超级力量、耐力与再生能力。,是,4,美国军方/雷霆特工队,无明确核心导师,7,强硬/固执/军方权威,0.05128604832424,0.002500255857801,2,0.7666,pic\pic/shield_logo.webp,0.0
DARKSTAR/LAYNIA SERG,暗星/莱妮亚·瑟格,女,反派,宇宙能量,能够操控暗能量，制造黑暗领域、能量爆炸和传送，并能吸收光线和能量攻击。,否,0,苏联超级士兵团队（如Winter Guard等）,红卫兵,6,孤傲,0.05128604832424,0.0005771870249368,2,0.6397,pic\heroes\DARKSTAR.jpg,0.1733
LOCKHEED,洛克希德,非人类,正派,变异,小型紫色外星龙，能飞行、喷火、隐形，智力高，会说英语，是X战警成员凯蒂·普莱德的宠物和伙伴。,否,0,X战警,凯蒂·普莱德（幻影猫）,3,忠诚伙伴,0.0505066250974279,0.0009316537999228,5,0.7369,pic\pic/shield_logo.webp,0.3056
STRONG GUY/GUIDO CAR,壮汉/圭多·卡,男,正派,变异,拥有超强力量和耐力，能将受到的动能冲击转化为肌肉质量，体型随战斗增强。,否,0,X因子,X教授,4,团队核心,0.050194855806703,0.0004691240264262,5,0.6812,pic\pic/shield_logo.webp,0.3137
"OSBORN, LIZ ALLAN",莉兹·艾伦·奥斯本,女,中立,格斗,无超能力，但具备出色的商业头脑、领导能力和格斗技巧，作为企业家和母亲活跃。,否,0,奥斯本家族/无核心团队,诺曼·奥斯本,3,坚韧独立,0.0500389711613406,0.001827801840092,1,0.8185,pic\pic/shield_logo.webp,0.028
ENCHANTRESS/AMORA/HE,魅惑女巫/阿莫拉,女,反派,魔法,强大的魔法师，擅长魅惑、幻术、能量投射和飞行，寿命极长，精通多种黑魔法。,否,0,无固定核心阵营（常作为独立反派或与洛基等合作）,无明确核心导师,7,孤傲/操纵者,0.0497272018706157,0.001410412132523,6,0.725,pic\heroes\ENCHANTRESS.jpg,0.2069
ETERNITY/ADAM QADMON,永恒/亚当·卡德蒙,非人类,中立,宇宙能量,作为宇宙实体，代表整个漫威宇宙的时间与空间，拥有近乎无限的宇宙级力量，能操控现实、时间、空间和生命。,是,1,宇宙实体,无,10,孤傲,0.0492595479345284,0.000360769811201,6,0.651,pic\pic/shield_logo.webp,0.0506
MEGGAN,梅根,女,正派,魔法,拥有强大的魔法能力，能与自然元素沟通，可变形、飞行、能量投射，并能感知和影响他人情绪。,否,0,英国队长军团,梅林,4,温和共情,0.0492595479345284,0.0013725242374353,5,0.7725,pic\pic/shield_logo.webp,0.3006
RHINO,犀牛人,男,反派,科技,身穿重型犀牛装甲，拥有超人的力量、耐力、速度和防御力，能发起强力冲锋攻击。,否,0,邪恶六人组,章鱼博士,6,暴躁易怒,0.0484801247077162,0.0021665351213199,1,0.7642,pic\heroes\RHINO.jpg,0.1801
MULTIPLE MAN/JAMES A,分身人/詹姆斯·亚瑟·马多克斯,男,正派,变异,能够通过意念制造出多个物理实体分身，每个分身拥有独立意识但共享记忆与经验，分身消失后经验回归本体。,否,0,X因子,X教授,3,团队合作者,0.0481683554169914,0.0007133330792115,5,0.6799,pic\heroes\MULTIPLE_MAN_JAMES_A.jpg,0.3333
GUARDIAN/JAMES MACDO,守护者/詹姆斯·麦克唐纳,男,正派,科技,穿着高科技动力装甲，具备飞行、能量护盾、超级力量、能量冲击波等能力，装甲提供生命维持和战术分析功能。,否,0,阿尔法飞行队,无明确核心导师,3,团队核心,0.0473889321901792,0.0019332682832594,5,0.6772,pic\pic/shield_logo.webp,0.4211
DOC SAMSON/DR. LEONA,萨姆森博士/莱昂娜博士,女,正派,变异,通过伽马辐射获得超强力量、耐力、再生能力和绿色长发，能控制伽马能量。,否,0,复仇者联盟,布鲁斯·班纳（浩克）,4,理性冷静,0.0473889321901792,0.0014857860180492,2,0.677,pic\heroes\DOC SAMSON.jpg,0.3882
